name,stars,score,score_location,score_cleaning,score_service,score_value_money,ranking,price,price_range,opinions,opinions_excellent,opinions_good,opinions_normal,opinions_bad,opinions_awful,num_qa,nearby_restaurants,nearby_attractions,zone,latitude,longitude,has_swimming_pool,has_bar,has_restaurant,has_breakfast,has_gym,has_reception_24h,has_ac,has_strongbox,admits_pets,rooms,suites,sea_views_rooms,non_smoking_rooms,landmarks_views_rooms,city_views_rooms,family_rooms,style,tripadvisor_clasification,language_spanish,language_catalan,language_french,language_english,language_italian,language_bulgarian,language_russian,language_portuguese,prat_distance,timestamp
AB Plaza Catalunya Apartments,3.0,1.0,,,,,718.0,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,464.0,70.0,El Ensanche (Eixample) / Sant Antoni,41.383419,2.16072,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,12,2020-11-02 17:56:53.794149
Pension Cortes,,3.0,4.5,3.0,3.0,3.5,695.0,,,35.0,2.0,11.0,7.0,7.0,8.0,0.0,437.0,69.0,El Ensanche (Eixample) / Sant Antoni,41.382671,2.1598,False,False,False,False,False,False,False,False,False,5.0,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,11,2020-11-02 17:56:57.247313
Bed and Break,,2.5,,,,,714.0,,,7.0,1.0,1.0,1.0,2.0,2.0,0.0,392.0,56.0,El Ensanche (Eixample) / La Dreta de l'Eixample,41.39415,2.17201,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,13,2020-11-02 17:57:00.864705
AinB Gothic-Jaume I,3.0,3.0,4.0,3.0,3.0,3.5,706.0,107.0,61 € - 196 €,155.0,25.0,38.0,28.0,25.0,39.0,3.0,856.0,371.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.383373,2.177867,False,False,False,False,False,False,True,False,False,6.0,False,False,False,False,False,True,Céntrico,100 de 100,True,True,True,True,True,False,False,True,12,2020-11-02 17:57:04.830663
Hostal Turis Alba,,2.5,4.0,4.0,3.0,3.5,265.0,,,17.0,2.0,1.0,6.0,4.0,4.0,0.0,522.0,66.0,El Ensanche (Eixample) / L'Antiga Esquerra de l'Eixample,41.391869,2.15229,False,False,False,False,False,True,True,False,False,12.0,False,False,False,False,False,True,,100 de 100,True,False,False,False,False,False,False,False,12,2020-11-02 17:57:08.687230
Ding Dong Putxet,2.0,3.0,3.5,3.5,3.0,3.5,261.0,,42 € - 96 €,162.0,13.0,40.0,56.0,24.0,29.0,8.0,96.0,18.0,El Putxet i el Farró,41.405849,2.144725,False,False,False,False,False,False,False,True,False,18.0,False,False,True,False,False,False,,100 de 100,True,True,False,True,True,False,False,False,13,2020-11-02 17:57:12.633582
Habitat Apartments Blanca,3.0,2.0,2.0,4.0,2.0,3.0,713.0,,69 € - 161 €,2.0,0.0,0.0,1.0,0.0,1.0,0.0,42.0,9.0,Sants-Montjuïc / Sants-Badal,41.371799,2.12731,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,90 de 100,False,False,False,False,False,False,False,False,9,2020-11-02 17:57:15.979234
My home in Barcelona,4.0,1.0,,,,,711.0,,102 € - 121 €,1.0,0.0,0.0,0.0,0.0,1.0,0.0,187.0,29.0,Sants-Montjuïc / Sants,41.377499,2.13561,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,10,2020-11-02 17:57:19.263637
After Hostel,,3.0,4.0,3.5,3.5,3.5,694.0,,,42.0,2.0,12.0,12.0,8.0,8.0,1.0,556.0,111.0,El Ensanche (Eixample) / L'Antiga Esquerra de l'Eixample,41.391361,2.15781,False,False,False,False,False,False,True,False,False,5.0,False,False,True,False,False,True,,100 de 100,False,False,False,True,False,False,False,False,12,2020-11-02 17:57:22.995664
Ainb Plaza Catalaunya Apartments,3.0,1.0,,,,,266.0,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,855.0,368.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.383389,2.17797,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,12,2020-11-02 17:57:26.401195
Bigramblas Apartments,2.0,2.5,5.0,3.0,2.5,3.5,698.0,,,4.0,0.0,1.0,1.0,0.0,2.0,0.0,656.0,256.0,Ciutat Vella / El Raval,41.379509,2.1738,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,12,2020-11-02 17:57:29.941417
Hotel Senorita,,1.0,2.5,1.0,1.0,1.0,264.0,,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,10.0,La Prosperitat / Nou Barris,41.43877,2.17575,False,True,False,False,False,False,True,False,False,24.0,False,False,False,False,False,False,,71 de 100,False,False,False,False,False,False,False,False,18,2020-11-02 17:57:32.989262
Casa de la Rosa,4.0,3.0,4.0,5.0,5.0,5.0,697.0,,,2.0,1.0,0.0,0.0,0.0,1.0,0.0,107.0,14.0,Diagonal Mar i el Front Marítim del Poblenou / Sant Martí,41.404999,2.20754,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False,False,,95 de 100,False,False,False,False,False,False,False,False,16,2020-11-02 17:57:36.967723
SOHO Studios,4.0,2.0,4.0,3.0,2.5,3.0,712.0,,,5.0,0.0,1.0,1.0,0.0,3.0,0.0,644.0,274.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.380741,2.17968,False,False,False,False,False,False,False,False,False,17.0,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,12,2020-11-02 17:57:40.166140
Pension Norma,,3.0,4.0,4.0,3.0,3.5,263.0,,,83.0,5.0,21.0,25.0,19.0,13.0,1.0,480.0,80.0,Vila de Gràcia / Gracia,41.400517,2.154449,False,False,False,False,False,True,False,False,False,18.0,False,False,True,False,False,False,Económico,100 de 100,True,False,True,True,False,False,False,True,13,2020-11-02 17:57:43.174345
Top Barcelona Apartments,,1.0,,,,,715.0,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,765.0,323.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.382221,2.17309,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,12,2020-11-02 17:57:46.864810
No Limit Hostel Sagrada Familia,,3.0,4.0,2.5,3.0,3.0,705.0,,14 € - 76 €,333.0,55.0,72.0,58.0,45.0,103.0,1.0,331.0,37.0,El Ensanche (Eixample) / La Sagrada Família,41.402325,2.174979,False,False,False,False,False,False,False,False,False,13.0,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,14,2020-11-02 17:57:50.219626
Hostal Antonio Moreno,,2.5,4.5,3.0,3.0,3.5,275.0,,,16.0,2.0,3.0,3.0,2.0,6.0,1.0,134.0,17.0,Sant Martí / El Camp de l'Arpa del Clot,41.40873,2.18453,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,15,2020-11-02 17:59:57.787665
Residencia Universitaria Nikbor,2.0,4.0,5.0,4.0,4.5,4.5,768.0,,,144.0,72.0,41.0,23.0,6.0,2.0,1.0,436.0,91.0,Vila de Gràcia / Gracia,41.397072,2.1593,False,False,False,True,False,False,False,False,False,56.0,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,13,2020-11-02 18:00:01.221639
BarcelonaForRent Gotic Apartments,,1.5,4.0,1.0,1.5,1.0,777.0,,,6.0,0.0,1.0,0.0,0.0,5.0,0.0,761.0,314.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.382771,2.17296,False,False,False,False,False,False,False,False,False,120.0,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,12,2020-11-02 18:00:05.081552
Blue Hostel Barcelona,,3.0,4.5,3.5,3.5,4.0,755.0,,,94.0,23.0,21.0,11.0,8.0,31.0,3.0,590.0,251.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.380253,2.179928,False,True,False,False,False,False,False,False,False,12.0,False,False,False,False,False,False,Céntrico,100 de 100,False,False,False,False,False,False,False,False,12,2020-11-02 18:00:08.962648
Tendency Apartments 9,4.0,1.0,,,,,779.0,,337 € - 510 €,2.0,0.0,0.0,0.0,0.0,2.0,0.0,467.0,118.0,El Ensanche (Eixample) / Passeig de Gràcia / Rambla de Catalunya / La Dreta de l'Eixample,41.390701,2.16535,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,12,2020-11-02 18:00:13.918090
O&A Apartmets Barcelona: Villarroel,3.0,2.0,3.0,1.0,1.0,,749.0,,113 € - 200 €,3.0,0.0,1.0,0.0,0.0,2.0,0.0,434.0,66.0,El Ensanche (Eixample) / Sant Antoni,41.382641,2.160278,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,11,2020-11-02 18:00:17.892095
